id: 51730bbd-9bce-4d28-ae30-580e2ddd1be8, lat: 50.43483821, long:11.96975958, 
id: 6890001c-57d4-4289-ab95-09a15a4cc775, lat: 52.90932574, long:17.84508792, 
id: 25de3804-ca98-463b-88e0-17d3ae8418dc, lat: 51.37904454, long:16.02052927, 
id: bbccc9e8-5cee-439a-a00c-0088b88bc327, lat: 53.11368755, long:14.03961756, 
id: 546d899b-ca18-400a-b342-59b2426aad41, lat: 50.4549391, long:10.12018809, 
id: bd6754a4-07b7-4de6-9471-5598bc24d5e2, lat: 55.29794181, long:11.21015653, 
id: cbbd17c7-738b-4906-8435-0a435259b0b3, lat: 51.07835287, long:17.03787608, 
id: b6cc3683-6606-4789-84db-b4563182e7aa, lat: 51.17666596, long:11.54501506, 
id: 4de626c9-d9ea-464a-a466-93db8367330e, lat: 55.06821683, long:14.89255682, 
id: 28353047-7789-4d0c-babb-adab12a4b082, lat: 51.2151044, long:10.24302328, 
id: d5c05bd3-76d4-4c3c-9985-deb82751c611, lat: 52.62407672, long:14.08227028, 
id: b7e7100c-5054-4ac2-bd61-5c3825c33ed9, lat: 50.0111839, long:10.5824478, 
id: e6ee6861, lat: 55.08068312, long:12.86196247, 
id: 2c00118e-7366-4c59-80b2-96a928a87a15, lat: 53.2343842, long:12.22147911, 
id: 8a01cea8-b623-41ed-a6bb-977b113e6961, lat: 52.83616918, long:14.98736934, 
id: 846ac8ca-a4a1-42cd-bbe8-3450ec090ee8, lat: 49.91073719, long:14.76316796, 
id: 87e7954e-2b6e-4572-acc7-81819e639ddd, lat: 50.92810899, long:16.00613196, 
id: 2cce11c3-6979-42a5-b501-ace4d5e598ec, lat: 52.6907415, long:14.31280182, 
id: e24d3cd8-69a4-4095-9de1-3ad27437d288, lat: 50.06492392, long:12.31323969, 
id: d7440558-4140-4eb5-ab05-295614c8d1a3, lat: 54.93658101, long:13.43174345, 
id: 306548a9-0d36-41e1-b667-a48196590ac5, lat: 50.68387773, long:8.63640627, 
id: 2dded423-8dbb-4e67-b25d-aa359b9c1a2a, lat: 54.87145298, long:12.51363796, 
id: e187aea0-95a6-41a7-b75c-3956a48c558d, lat: 50.41642815, long:14.26537009, 
id: 3e242b9d-0d2d-4d0b-a001-8cadebbc6da2, lat: 49.61790927, long:13.17178599, 
id: 71b01614-0e38-44a8-8713-b296ca942670, lat: 53.27620379, long:18.19087354, 
id: 4403c7bd-7786-48e3-abc7-2846eed5ca95, lat: 50.79438882, long:16.15860958, 
id: 5e56c557-40c9-47b6-94ba-691112d400a9, lat: 49.62210034, long:16.35547071, 
id: 953d7eac-3d60-4ce2-9044-db8152b6581b, lat: 54.95435379, long:11.97374486, 
id: dda4c8e5-82e4-4634-b5d1-d799b046ec09, lat: 54.82904664, long:17.97530849, 
id: 8744b734-377d-4428-930d-a39caa956570, lat: 53.86268564, long:18.63571011, 
id: 9c332125-d7c8-4cb5-8319-db034b463331, lat: 52.55933161, long:11.7961662, 
id: aaeadb2a-a199-4a45-8c8b-32261187994b, lat: 50.09274415, long:13.63857364, 
id: cd14ca5d-6e4c-4364-87e3-1075ece4c78a, lat: 50.80999005, long:9.30528082, 
id: c14046c4-222b-4d1c-9aa6-85b2e768235c, lat: 51.0826719, long:18.48378555, 
id: 8c6199db-5c6a-4098-81ca-4c6aac57b48c, lat: 49.70394037, long:12.35566019, 
id: 68957ccd-289b-4533-b187-390e9cd91e91, lat: 49.46721246, long:12.58983768, 
id: 2543ab82-260e-4d48-87e6-b2e414d43ba6, lat: 54.39383068, long:14.29155892, 
id: d4b44cac-6861-4875-a53c-34a5b131008d, lat: 51.57284208, long:8.71496869, 
id: 282a7b84-85e0-4b95-b3e6-7053559518c2, lat: 50.74997308, long:12.00743874, 
id: 72259d1d-0036-4a4b-bcb0-578c6edb3120, lat: 49.86055644, long:12.20650668, 
id: 0255d218-c491-4d85-9eb9-c60d1d45abd7, lat: 54.78349934, long:14.06482028, 
id: c35ee63c-3650-418c-803a-403ddc627057, lat: 55.32465863, long:12.62857947, 
id: 8a5b33e7-8274-479e-8873-447229456175, lat: 52.66422297, long:9.21069713, 
id: c94cb897-ebe0-414e-b68c-85daab97bdcb, lat: 54.50657353, long:17.85946402, 
id: 80a67ecb-194a-4b97-891a-0bd3e337802e, lat: 55.00112246, long:15.06937805, 
id: 4c13e967-a160-4a70-9986-dc4e22c0b394, lat: 49.97913974, long:16.88678921, 
id: 9cb0467c-ee63-4529-a3a3-de225e01a088, lat: 51.70514987, long:15.3146967, 
id: cecda62e-5887-4715-9c4a-1c83133574d0, lat: 54.64953444, long:15.28583019, 
id: 3b246ae3-139a-4e48-b709-8b92bea57e73, lat: 53.99662555, long:15.65556609, 
id: 6c3eb093-4de1-40c0-8ad8-46e2322c0739, lat: 51.98378876, long:17.62888369, 
id: 73a333ad-e322-45d5-b763-d90e09343900, lat: 52.90692147, long:11.38960974, 
id: 97464d7b-a6ea-4e48-a06c-8473d4b82274, lat: 51.52453474, long:12.20075218, 
id: 269ae7ec-b537-4868-96c5-1423961a6479, lat: 49.23833033, long:13.32587166, 
id: 01a53c5e-73ea-41e6-87ce-961b371c3d8d, lat: 50.26056549, long:12.35537466, 
id: 1b55adac-bdc1-4de6-8860-996ad226e13d, lat: 49.38685712, long:12.00977173, 
id: 69e2d178-3c85-4aa2-ae78-7ad9d1b9230b, lat: 51.0466886, long:16.45954253, 
id: 5db9e0d2-27e4-4072-8e99-d0b75aa1bd18, lat: 50.57146279, long:11.68546909, 
id: cb1c3c35-43cc-47b4-a528-8e9345a7cb7b, lat: 54.61867189, long:8.67379995, 
id: 49dec46e-47a4-4184-871a-9148142c10d9, lat: 52.31816986, long:15.52835084, 
id: 5b8a5275-a8aa-47b2-842c-cc831dcaca97, lat: 49.38534014, long:14.97390425, 
id: 27051d0b-6476-4794-bb5d-27e7db8e29d5, lat: 52.08043436, long:12.44706698, 
id: d6ed865a-23c0-4551-bd3e-1ed22170b32c, lat: 51.69969926, long:9.39661878, 
id: 705b0a22-c21d-4b3d-b6d5-670333051834, lat: 55.15897878, long:14.28746524, 
id: a7baeeb7-ca37-42dd-a87b-2ded798e89e4, lat: 51.95634629, long:8.7372765, 
id: 294a877d-7ead-4b15-9d2d-90761c93659c, lat: 51.31020175, long:8.79064395, 
id: 675dc4cd-3237-485d-8371-4b6eba8ce80b, lat: 52.64377084, long:10.6196846, 
id: 17a26eac-50cc-468b-aa92-2db42aeb6ae0, lat: 54.32231556, long:13.37716709, 
id: 1ba60c26-c5c0-4b5b-9c36-77858e729d71, lat: 53.91348916, long:11.6288181, 
id: dd2822de-50c9-4062-b00a-ac705ad7604d, lat: 52.29500286, long:17.896233, 
id: 2e54b945-94c5-4e99-90ac-e30109260637, lat: 49.29137558, long:15.42215029, 
id: ce2311be-da62-4e7b-a405-2151e5b1338a, lat: 51.75615468, long:9.81697766, 
id: 72a2d4e4-8789-4308-9b6d-c394c6583dd3, lat: 54.62872263, long:16.28209822, 
id: 67eaa9b8-c977-46ed-a738-c5caa5961d81, lat: 53.05513575, long:17.6890204, 
id: ee1e7304-2982-47d9-ae07-0baddb9a1a47, lat: 54.85307289, long:12.16520452, 
id: d5b7ec75-0d2d-4954-b4bd-ee6b75b98b16, lat: 51.06826137, long:12.04817506, 
id: e90e40a9-7942-44c2-a0d2-c30acc5b461a, lat: 51.65101009, long:7.75974556, 
id: bb506974-75e9-475a-a1b9-ac349c858603, lat: 52.49670979, long:10.46139485, 
id: 839e0ebc-4bce-4d2d-93d8-a1201b31c496, lat: 52.94598921, long:12.55603259, 
id: be456673-ab79-4c98-8e67-2ea49b391d7a, lat: 54.99713811, long:10.92262466, 
id: 61a0129e-e6ce-4c3d-bcc4-166a392bc7c9, lat: 53.20895911, long:18.53757677, 
id: e604108d-e228-4c2d-b5e8-481dc8a1b0ec, lat: 54.95347273, long:13.43082271, 
id: a5a52838-a078-4b4a-9a06-79166886390e, lat: 54.78071526, long:13.58683027, 
id: ecca72c9-44bb-488e-8b05-5d2cd84dc8e8, lat: 49.76284368, long:15.89671298, 
id: 0cbd78ec-8541-4026-8d7c-5186a208b36c, lat: 50.30644748, long:10.52572274, 
id: 37d0cb51-37b7-4d31-abc7-b94c3c321a61, lat: 54.91867401, long:11.58650236, 
id: 641813e3-6360-47d4-b667-77da7db3568c, lat: 53.846375, long:9.49580049, 
id: 4d33ee48-230d-4b0e-8ea8-a4dc67724307, lat: 54.28721985, long:8.22321197, 
id: 354271be-21e8-458a-bb1c-cdddc59a23d8, lat: 51.70036745, long:18.28063337, 
id: 9d1624c4-b2c8-42aa-997e-60e4d3c97b9b, lat: 49.77427206, long:12.82844032, 
id: 73bc9764-a197-4cab-bd49-a83b0086d34e, lat: 50.59507383, long:9.78205235, 
id: d840a0e4-8a1c-4156-b376-45d73b81131b, lat: 54.24886765, long:13.99986153, 
id: 808ecc9a-87ad-453a-862a-575ca7705a7c, lat: 53.98791781, long:16.25888146, 
id: d5e2d858-e04e-4445-b9be-24c018741551, lat: 55.51100905, long:11.91477728, 
id: 3e9bc220-62a0-484d-98c6-578cc36d5061, lat: 54.97011501, long:11.66148409, 
id: 6536a868-b83e-47b0-9462-7448a93b9827, lat: 52.28885695, long:14.47946963, 
id: a09d1eb9-5a55-4382-96ce-4c4ddc678929, lat: 53.81544006, long:17.66052343, 
id: 14ca49c7-b5da-45dc-a128-126a3e575311, lat: 49.08741564, long:14.9725938, 
id: 140a30d1-0276-4da6-b119-b291d9db6810, lat: 50.48811806, long:10.78766146, 
id: 325d9d70-41da-485e-ab60-2072508214c9, lat: 53.00983577, long:15.06648916, 
id: d702376a-d515-4381-9c5b-68c4603a8ed7, lat: 54.08165915, long:12.66443814, 
id: 3aa70563-2892-4d21-9d2b-045c82ee31aa, lat: 51.99179294, long:15.03921971, 
id: b4aa9524-e728-4858-88c9-31b0e232b058, lat: 51.29127402, long:14.98232276, 
id: 3896079e-00d8-4628-a437-807eda21d5cb, lat: 51.37864453, long:15.02431399, 
id: b758ac4c-a670-4410-ab42-5c8e454c2900, lat: 50.76523288, long:15.94369026, 
id: 652d0cbe-7da9-4d0a-9156-511602700455, lat: 52.4641273, long:8.54955556, 
id: b0a429b7-01b7-40a9-b109-612dd80996dd, lat: 55.13444979, long:14.53479355, 
id: 494de449-23b4-4c83-b3c2-6b2a950d3a05, lat: 50.44910739, long:13.3217592, 
id: 08bc0469-12b1-4a88-bbbb-47867cbd8e71, lat: 52.06832203, long:11.32294226, 
id: c30406d6-e824-496c-a473-884b92173671, lat: 50.9031981, long:15.93031623, 
id: 84ee9720-d273-4b35-99be-75b3bb213594, lat: 53.61530274, long:10.63383223, 
id: 6d0a71b5-15a0-4b48-b776-4146421760d3, lat: 50.03215557, long:13.35278228, 
